Scenario,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Programs
1,0.108944809695552,0.24468705126137602,0.303915322870267,0.34956743803540524,0.37735481367671964,0.38333953969061996,0.39263514449195336,0.4002903931638748,0.4022309989575125,0.40398567727902623,0.40544799859761466,0.4061682828432048,0.4065578174387321,0.4069521702358988,0.4073956528439819,A
2,0.16709428440394,0.34163711173315503,0.4113844800599746,0.4294404094446075,0.43590319439606307,0.4399711170135005,0.4440954457465182,0.4468691311327528,0.4520045070963662,0.454295202893663,0.45627201343727686,0.45748204252631336,0.45817182232299986,0.4589426831670322,0.4598814206354417,A
3,0.107630378935235,0.233202584519361,0.2935608493726221,0.3379373967227141,0.36391492797542063,0.3885913701099059,0.3903293040095327,0.39687899266057197,0.3971892179161823,0.4010415660119109,0.4023372160352366,0.40317234000058894,0.4035831747297047,0.4038417398030771,0.40409999308517663,A
4,0.142365134840053,0.286130555626841,0.3647260984175318,0.4006200295470892,0.4110747937737148,0.41616388930781734,0.4187076913367026,0.42270704246437907,0.4248001614018631,0.4254732859791294,0.4256703947644035,0.42645241271834794,0.42692528351206677,0.4273333307214388,0.4276361768768806,A
5,0.133926068876122,0.31177364345581,0.391975611007923,0.4144119112565582,0.43231997592845806,0.4425181214799351,0.4436768507556452,0.4506485941266376,0.45283070002246484,0.45751915856110825,0.4599068656979431,0.4617519165821688,0.4637627092940929,0.4643190196055927,0.4649374863627485,A
6,0.184236795183665,0.393921501119082,0.42657390994079,0.452543440484179,0.47115170542160856,0.47256218958460827,0.4791700837430223,0.48427784421532055,0.48695177191554195,0.4916432175614176,0.49359079960199415,0.49442862426198725,0.495,0.495,0.495,A
7,0.156220536585851,0.341464959103741,0.406058030095059,0.4197766095152524,0.4298005838667345,0.43436934411357975,0.43773879373673436,0.4412463703409194,0.44214647710787097,0.4428518953756814,0.4433560394113435,0.4441980707237984,0.44474581777842465,0.4447680421929503,0.4451881653509082,A
8,0.193457129267929,0.4076646925442029,0.4448562819399799,0.48113025034250023,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,A
9,0.166515337107008,0.362911613265933,0.41502944617704063,0.4328719629146055,0.44246385824861423,0.45149261965615994,0.4613073916268882,0.46721084198998897,0.4731039895408476,0.47333900780136734,0.47697367170749266,0.47966267185164185,0.48056008312844556,0.481106009479113,0.4819758901116599,A
10,0.195517486156314,0.4032142282304386,0.4338411601136668,0.4547760175388903,0.4897744473571566,0.49098477739824503,0.4930309323749523,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,A
11,0.128500568134506,0.30747091785214997,0.375902712835345,0.40916452733872183,0.421986619186804,0.4279398052328305,0.4335953372318287,0.4350785901310464,0.4360528344883935,0.43762973976670655,0.4380722770502983,0.4382804020261113,0.43894798274043856,0.43907292714478635,0.4395804495055308,A
12,0.16757144438373,0.359577519159072,0.4148524323613836,0.4330224226310555,0.4522700339808254,0.4746025030069276,0.4777873343910131,0.4856884221029682,0.4876660109571295,0.4915070142581757,0.4944859905202401,0.495,0.495,0.495,0.495,A
13,0.209758422416779,0.42218995653649394,0.48239615310237,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,A
14,0.138782992342341,0.34387391517462,0.41035012154794936,0.4284260147978087,0.4387439556645657,0.44652494509785895,0.44970736681294565,0.4526474962030835,0.4544429074599933,0.4595289921727056,0.46088551607687617,0.46249283012136533,0.46339830215071687,0.4642176939875918,0.4654766194315253,A
15,0.105981723968661,0.224710486066997,0.2909654737915842,0.3267621749629481,0.3626828220213385,0.38352927582838,0.3889787016311197,0.3947223156702583,0.3958439798088419,0.396263282127881,0.39665554622231547,0.39969778644480797,0.4003331580652925,0.40038614881458195,0.4005750193722443,A
16,0.159011404868414,0.34787216048853,0.4171660452046156,0.43574092851281887,0.44714440337506495,0.4513039367442189,0.4577107612338771,0.4646254819982976,0.4678737559977283,0.47350065343260506,0.47617487311127793,0.4775677365828035,0.4796659313405428,0.48005458937804074,0.4804289770921141,A
17,0.16614184633573,0.38037212650461905,0.4241076822906877,0.4435600831112128,0.4728148800929469,0.47325967818450815,0.47329909848053664,0.4792017259971415,0.48064802247148125,0.48250061294861457,0.48459977739080096,0.48711503012472046,0.48812990954357244,0.4882540818267431,0.4892096965162316,A
18,0.152367097689058,0.330444669832682,0.40868869914151695,0.42521228459951244,0.4374184846346956,0.4414705259417905,0.44553824361537114,0.448692741613422,0.4571664426454362,0.4586185508506382,0.46053509623927613,0.4614390345386358,0.4619675497947663,0.4628248470758016,0.46380678791628505,A
19,0.0936938483529189,0.2249046775503119,0.284544072594991,0.3206825373359316,0.356981467303349,0.3712767982748736,0.3746013469559007,0.3791829240898475,0.3885136278841239,0.39063843570238893,0.3951048468554556,0.3981711113525644,0.399730567996141,0.400202898980285,0.4005281196662077,A
20,0.183828172179519,0.39024537270639803,0.42920972916527295,0.44919169273845044,0.45928641518388613,0.4628080964945739,0.47084448373429216,0.47205296104911754,0.47308282996121875,0.47476480003417604,0.4763165748057991,0.4767396316449045,0.4777301661964976,0.47829749492756546,0.4791289866125772,A
21,0.194612561969208,0.4008067322004175,0.43154944139152124,0.45114496802126774,0.4647320155068517,0.4729954742776186,0.4774215572343783,0.48520565250412334,0.48706501105492966,0.4946743504427767,0.495,0.495,0.495,0.495,0.495,A
22,0.138453975247258,0.293985177000445,0.38244142397890313,0.4087910823548933,0.4188386544040522,0.4216665870365158,0.42457357808995166,0.4271072800627459,0.4313970896126769,0.43275803793261497,0.4348608085929657,0.4348910885538488,0.4351163068039003,0.43553336226583506,0.4361416461412319,A
23,0.207175563287711,0.4157318586528973,0.449073380606275,0.4840726339751565,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,A
24,0.12871029399304,0.285097755759473,0.3603419351003349,0.4015764390184297,0.4135601563340705,0.4195945927095202,0.42302297418841095,0.42490118026340307,0.426626751500767,0.43033544820728203,0.4307438075562959,0.4314709610685724,0.43175376658995424,0.43185186648799767,0.4324240849722579,A
25,0.196594228874209,0.4076635953554902,0.44505635995252046,0.4860460181321339,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,A
26,0.132466281272298,0.28297992816025097,0.3564999143125618,0.40434569133130666,0.41154435456100597,0.41347595299457657,0.4145606684325172,0.4173853921899054,0.41921206170530567,0.41953510127729426,0.4207625740191565,0.4213685405690707,0.42194697539761106,0.4222644816248475,0.42253609624822364,A
27,0.145009843245674,0.325699849185328,0.40637436216634193,0.42225868012068907,0.43337579700416146,0.43442021641460543,0.43806363502307116,0.44050428694902605,0.4410044997484262,0.44264742112714045,0.443779521490859,0.44471653987028936,0.44562643154728093,0.4464765805980154,0.44748849234523647,A
28,0.17924636453127,0.377982229205654,0.4206742078963357,0.44097739644544626,0.4560671590322528,0.45975481304731713,0.46512492665991717,0.46686905263016515,0.46754165395334196,0.47289119968816345,0.47686939804102346,0.47862770261564835,0.47961906403212273,0.48070165190121505,0.4817249509015446,A
29,0.0920902808701452,0.2075978128121472,0.2651769429745947,0.296522974780087,0.32007386280553357,0.33185489223796716,0.34444862585527775,0.3518771743294977,0.3542554354938067,0.3596039399551445,0.3631234085392205,0.36498301940704647,0.36669943987099685,0.36781675672182335,0.3683221350279208,A
30,0.196128451772282,0.4131826744408645,0.4517024299579285,0.48767654488776746,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,A
31,0.19482618482431,0.4084514063744233,0.4392329038342387,0.47333818449321213,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,A
32,0.127901198518272,0.29474638355107796,0.38304505195837546,0.40981638181328595,0.42293897847931283,0.42392588788894137,0.4260123335182653,0.4275644191227137,0.4277696943111019,0.4293581711043628,0.4297132905057845,0.4300635162518431,0.4306282381378273,0.4306835326763114,0.4310001341556823,A
33,0.155890149238245,0.34931374190395403,0.41407113601698853,0.4285254708372632,0.44165086294634176,0.44592265865925423,0.4478424701807464,0.45380431719676734,0.45533710164524827,0.4572812011572903,0.4604479847929265,0.4617235277550501,0.46381161548399774,0.4646075673355209,0.4654610261542446,A
