Scenario,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.2040526991732290000,0.2039082288068280000,0.1214710268408700000,0.0723309014276828000,0.0284676373678281000,0.0155770398736942000,0.0250636078233502000,0.0122728040380628000,0.0139767936529718000,0.0136859742551436000,0.0010908164804518500,0.0034254001346042000,0.0033169875803244100,0.0015235137141943400,0.0007359278033995600
2,0.1402217721490550000,0.1750981420770370000,0.0902729119192970000,0.0490930343585968000,0.0332183010011208000,0.0261482710805829000,0.0175660164655565000,0.0110577113776181000,0.0026922735292212500,0.0023707355701354900,0.0037160428770331700,0.0039467011279070400,0.0001258278943079360,0.0006175617885284320,0.0021401289708331400
3,0.1408936888602050000,0.1475859564966940000,0.0807562956190164000,0.0429387919331601000,0.0295710540271936000,0.0253036083568621000,0.0047360080762301200,0.0124674874881326000,0.0077519964222110900,0.0032647263759733000,0.0027021082203739100,0.0023016875538175700,0.0025827940391722400,0.0012911462205815300,0.0016765683849394000
4,0.1385034920793830000,0.2191674585258670000,0.0749932966588357000,0.0562743401948059000,0.0437930747965970000,0.0048914137855609600,0.0181288112901469000,0.0063182756234902100,0.0058878966753067100,0.0028229958680645700,0.0060253430063230500,0.0028329004211422400,0.0000971598680726892,0.0013206216863591200,0.0008890098802212890
5,0.1378915230097000000,0.1944676518503140000,0.1010210578338500000,0.0529555836456068000,0.0464298353126036000,0.0123523233942861000,0.0025110096866218800,0.0016144412991695500,0.0086255612303607100,0.0060974197381391700,0.0025319095812626600,0.0048135825931410100,0.0013739054006441500,0.0011216318807240600,0.0006512322035261130
6,0.1415897555616050000,0.1792384295501000000,0.0776973947289944000,0.0564331508810661000,0.0335668768054072000,0.0173465292737012000,0.0036301229365697100,0.0101367133029686000,0.0125073806086935000,0.0002999451690699470,0.0042884228744053800,0.0019212943298806500,0.0025440603806055800,0.0011427008010669400,0.0016773092580904500
7,0.1248187307010270000,0.1820716698952220000,0.0991520889694642000,0.0399218161574117000,0.0255984476981029000,0.0242117206265058000,0.0237163901280749000,0.0074011602260990600,0.0004159359157733610,0.0084581137599052000,0.0042665080831984900,0.0026877290553791600,0.0004454205259097780,0.0009032432871982090,0.0018895201903066600
8,0.1547043135846530000,0.1943941855609780000,0.0948884537667234000,0.0479576920846434000,0.0436694289037976000,0.0114350986573744000,0.0085375849138291300,0.0025838072584110600,0.0039990231638276900,0.0029278649842550000,0.0027883199256046700,0.0022697231284518300,0.0017567744281166700,0.0012496686835027300,0.0011899203736511100
9,0.1565798279126550000,0.1857770191622140000,0.0927851618047401000,0.0571037906437369000,0.0558185384294878000,0.0173958346110319000,0.0177017810471307000,0.0222930847282327000,0.0089542876326494800,0.0036011140033281500,0.0034185470393641300,0.0009306248689538880,0.0023669948698213800,0.0007799472698185110,0.0010239455665425900
10,0.1351905461641340000,0.1773609617949460000,0.0854125565430583000,0.0573651311591809000,0.0341176926660002000,0.0125186330105976000,0.0154129833066888000,0.0059682939344164500,0.0038082769540160100,0.0041485226923705400,0.0052695266672825100,0.0043227328818772000,0.0013860753667349500,0.0008511705433514440,0.0012672535302433200
11,0.1284755075981360000,0.1617514020205120000,0.0869086605844197000,0.0485781205935160000,0.0398380495206238000,0.0081927586957768400,0.0116426207946904000,0.0048689491972990900,0.0087836079833144900,0.0023466210445739200,0.0012817321063091300,0.0037646296839421600,0.0024078463726642700,0.0012835088769301100,0.0008282909437876070
12,0.1218706090011210000,0.1221493607449100000,0.0644666016785146000,0.0439707188933433000,0.0238286614193957000,0.0036480078827823800,0.0024960415524935500,0.0073360251419958800,0.0038793773426163900,0.0020148107695501000,0.0016415689387711700,0.0011202780015612500,0.0016714817677019600,0.0006878543321568070,0.0006992546547806860
13,0.1230435600976960000,0.1938851361422790000,0.0757115940985079000,0.0501425810305825000,0.0490222585072970000,0.0127640598240313000,0.0164659138646801000,0.0152578700037270000,0.0128661631465875000,0.0111478517398559000,0.0023929780702504700,0.0019757863139127000,0.0010968949655837400,0.0008739829672402120,0.0018603464144953900
14,0.1927655744505440000,0.2284294891999460000,0.1105963698364700000,0.0650283463960396000,0.0441350310845318000,0.0047965380182595800,0.0118451950378378000,0.0165833778716673000,0.0003094435176630890,0.0042807896535513700,0.0005454726938592190,0.0028739131997522800,0.0018375368697304400,0.0012357130431306700,0.0030362607544119300
15,0.1414106211892580000,0.1802718471174490000,0.0942420368632587000,0.0575562592722314000,0.0502985859668269000,0.0111580921415852000,0.0045328400728893700,0.0149496917168516000,0.0019076812494339900,0.0058198571642626500,0.0045669256898005000,0.0016763021488587300,0.0014010639376714400,0.0013431659264403000,0.0021267779699989200
16,0.1167927231584750000,0.1125998560187410000,0.0671257798899277000,0.0441555439767680000,0.0363699368156118000,0.0181980029182004000,0.0025210951790458000,0.0062169799281306500,0.0085452245081519200,0.0051172364706535500,0.0025724871238447100,0.0016847770100687000,0.0010329767951481700,0.0009378706471214880,0.0020862166690477400
17,0.1802001846350670000,0.1544920156810240000,0.0884846642121307000,0.0503490585804101000,0.0322964194584464000,0.0142344636151418000,0.0150016858100408000,0.0045789586111889400,0.0121736076383530000,0.0049733869487128600,0.0033112332522437200,0.0011210714050702700,0.0010456340855510500,0.0011214633667144100,0.0006210145174715880
18,0.1279308726423920000,0.1503150042934860000,0.0682734324417035000,0.0388758613148114000,0.0360144863391181000,0.0143212139114405000,0.0142467051640755000,0.0119979644138872000,0.0116370741199022000,0.0008682421182891490,0.0020245963725132900,0.0027930050078730600,0.0024040583518489100,0.0007127768120055740,0.0009458207652581420
19,0.1887516086543070000,0.2305973691817020000,0.1253365889975070000,0.0873927881594795000,0.0738384260737401000,0.0237622298182853000,0.0152798592717965000,0.0105030627909086000,0.0060758724400308900,0.0164499292306221000,0.0044024869582558500,0.0050806976545376100,0.0037692727655063500,0.0014685591623255500,0.0019613921213556800
20,0.1768556550261190000,0.2017032295530080000,0.0943820341420832000,0.0631418071970306000,0.0376706801111689000,0.0269490269121291000,0.0236855142563046000,0.0124539508233086000,0.0121132928883106000,0.0130142610305256000,0.0067361923003033200,0.0036182359544504100,0.0011004613301479900,0.0016901416874080400,0.0020488414213530300
21,0.1917017597616760000,0.2575728176802230000,0.1207794972099120000,0.0751308809328968000,0.0365687875222936000,0.0095042091468419400,0.0233549918586413000,0.0169045218210908000,0.0037351922944735900,0.0002345470873214340,0.0029245089453389900,0.0024154233364667600,0.0028052249636995400,0.0019753899761522300,0.0024121465972806000
22,0.1298950980124000000,0.1660744013269570000,0.0765873358976010000,0.0404522248025219000,0.0445508418784486000,0.0072894353084268800,0.0116242800083687000,0.0068292916381059500,0.0084725880950908000,0.0070558621508179200,0.0039062980643057500,0.0025208416952881900,0.0015362510027483000,0.0012171034027949700,0.0011238427974588500
23,0.1391216688420080000,0.1639557303285230000,0.0944185300599589000,0.0503953031322238000,0.0405896661882484000,0.0008830300000688030,0.0127135511032320000,0.0075602078847633500,0.0041251135875136400,0.0049307328355278000,0.0045277936008332000,0.0026270623019720800,0.0004902893996007530,0.0013348704740387800,0.0023166900667160500
24,0.1477397998090000000,0.1741862252880960000,0.0963870824657833000,0.0581441116914842000,0.0354421987677533000,0.0193381444268389000,0.0143431406886592000,0.0083412368540054700,0.0105198392305625000,0.0010157540692731100,0.0039337875705111500,0.0007833961004311140,0.0014997226553617100,0.0015863268530548100,0.0020506479363281900
25,0.1284881098938650000,0.1371929348511020000,0.0739044964979188000,0.0516323210992484000,0.0503055407209880000,0.0171378242224362000,0.0177996671139842000,0.0132106704913564000,0.0077519209802678000,0.0045412478481308000,0.0036160015342381000,0.0009464641042524290,0.0036248885923960900,0.0012762609038601800,0.0014286699830822000
26,0.2072155406067030000,0.2263719447148290000,0.1314774564371880000,0.0610667009648392000,0.0397171487788968000,0.0029172953094125600,0.0020768642967670500,0.0010868712455428100,0.0016353867393820400,0.0063481448525012300,0.0034583604683959200,0.0028086315842065000,0.0009500927474558920,0.0014684619809094900,0.0003435773715389730
27,0.0994640474087356000,0.1405274416625720000,0.0698895683809575000,0.0406557865949329000,0.0328220127503759000,0.0063237575045295700,0.0054857597738142300,0.0030059581968675200,0.0011276071670887800,0.0000422172299808367,0.0013912019452752600,0.0017155034441282600,0.0017953655241096500,0.0007204720274513450,0.0004158845942625220
28,0.1776635423951670000,0.1831730645706560000,0.0941196369407535000,0.0656746182994004000,0.0498024330344558000,0.0052931408004402400,0.0100911895420934000,0.0039648733716151100,0.0038928886198253100,0.0139322204679747000,0.0044118702561382300,0.0017035059977873500,0.0028912783808204300,0.0016952412727932700,0.0003432387602566010
29,0.2000754381749530000,0.2148846378528760000,0.0966976472250604000,0.0647222041195763000,0.0215943239165503000,0.0167713457760892000,0.0022903716210543400,0.0011467405728650900,0.0034242655948888900,0.0072559121030489200,0.0060263322621810000,0.0044240345542578700,0.0035968248294203600,0.0015338307695027600,0.0009899903856278990
30,0.1635879324704190000,0.2075579387106530000,0.0850521855998569000,0.0581089035044830000,0.0434567419547384000,0.0059306892556310300,0.0216826702464633000,0.0082138704792513000,0.0054053558408359100,0.0127549104296048000,0.0084713609665703900,0.0010049665271539700,0.0009645047229738690,0.0016152756864080900,0.0010039354721049000
31,0.1876229871529510000,0.2557581248834390000,0.1284000144038860000,0.0715546369957765000,0.0388794029377868000,0.0266280414341483000,0.0160668188842210000,0.0129661835232857000,0.0003885772415133390,0.0008637201182092740,0.0010167603295146700,0.0034480291862100900,0.0006521527571406970,0.0020604861782117900,0.0022148939050478200
32,0.1820490313361510000,0.1732872199693310000,0.0875538679644411000,0.0603654449084285000,0.0304505872023292000,0.0033584429234058600,0.0191255754406224000,0.0043683467276167300,0.0011986296579510800,0.0016108137094991000,0.0060592610131251400,0.0011896894381048700,0.0017631668778989300,0.0012348420920705000,0.0010254534648868500
33,0.1343863021845190000,0.1762207015560420000,0.0868315670663332000,0.0496135161543092000,0.0283577695279950000,0.0273507794249991000,0.0076395043348108700,0.0122682556088753000,0.0168304770051469000,0.0087713598807389700,0.0031327578753114200,0.0037180813862035200,0.0009415034482475380,0.0011318861358057800,0.0019827889207615300
34,0.1295318940821200000,0.1513753018934330000,0.0717752683872654000,0.0413569602296049000,0.0378034864631215000,0.0106509055517762000,0.0172437700548327000,0.0079307459188312600,0.0074505903968874100,0.0063356442667067900,0.0020372660693732800,0.0045600196290964300,0.0013824718925645400,0.0016466909088709400,0.0015907825835569200
35,0.1149173201368120000,0.1481543216614140000,0.0826082908902261000,0.0435885183865288000,0.0044545797745553600,0.0013333877041074500,0.0097783060720164500,0.0080424980920608000,0.0080561433679240500,0.0007544917713366170,0.0009272389803643620,0.0003747211741259000,0.0014618175091217300,0.0005751837967476210,0.0017437104462777000
36,0.1802495550719050000,0.2371638664952000000,0.1326843657169300000,0.0653444854970804000,0.0266866736812685000,0.0296874515316452000,0.0205718839259353000,0.0105000786675259000,0.0069890474079086600,0.0053748182535425700,0.0059787205937596800,0.0045216120365652200,0.0029843041208976200,0.0021059939233427900,0.0018531760577805600
37,0.1157631571646960000,0.1393106122950800000,0.0712427924311513000,0.0426529247514398000,0.0419365127317318000,0.0048560460124668700,0.0068985386613249300,0.0073455595910526200,0.0039519691043476800,0.0031537852350455400,0.0011956161188821500,0.0012947735593139200,0.0012402806964274000,0.0001061418206591240,0.0005812086992088920
38,0.1104278478649440000,0.1410201068704280000,0.0598615442340674000,0.0376551741440139000,0.0442334097797147000,0.0131185684464810000,0.0085338505569667700,0.0000048573379513533,0.0054801398516885100,0.0050808661513665000,0.0015993288458380900,0.0024166232903955600,0.0018627345810866800,0.0017821626580709500,0.0009538348378570000
39,0.1462539013532520000,0.1775515296134680000,0.0912542555993536000,0.0540535621611819000,0.0369630874184208000,0.0097072510976112900,0.0094654432198314700,0.0101194538336502000,0.0037822676072896200,0.0022459527122916600,0.0013571842854997600,0.0022053230671581800,0.0017733396597373700,0.0014523017776485600,0.0010386011012182400
40,0.1069900895155480000,0.1256925635954410000,0.0604716500942759000,0.0416629482881447000,0.0241294922131948000,0.0070076885184567600,0.0087268976067741200,0.0060228398664577200,0.0041723380674446500,0.0001627547897727580,0.0011893113193602000,0.0024106725346008000,0.0008179386543969840,0.0015261680663080600,0.0015801069910069200
41,0.1541953780505190000,0.1539765783613890000,0.1046459473652310000,0.0520185739013632000,0.0300816441642381000,0.0090508394751940300,0.0056243693750069900,0.0134715185935039000,0.0066010210886508000,0.0071036487643640200,0.0054049513354525300,0.0038223219820233400,0.0020199321196386300,0.0013028321098954200,0.0019979637403775300
42,0.1193155693573760000,0.1351365265373290000,0.0626388060056338000,0.0424361823124265000,0.0445663880081913000,0.0158333589941831000,0.0157511831915462000,0.0094858450521332900,0.0059903180432190000,0.0088370724021671500,0.0036761004811665300,0.0013757395219109400,0.0015014690439680000,0.0009117238991886750,0.0013984283480925400
43,0.1839218625960600000,0.2400754735424650000,0.1088131903901430000,0.0762150394111025000,0.0373800789698220000,0.0235419081973627000,0.0082536701417727800,0.0134550727158255000,0.0126104635374447000,0.0094240507173656700,0.0046239103129867200,0.0044771404774824100,0.0015137761056668900,0.0037283699573515900,0.0026371726164720600
44,0.1475381531591740000,0.1705474887033980000,0.0837508016369008000,0.0449185068903596000,0.0307789684253241000,0.0178429724532141000,0.0096451631870800000,0.0041017213706221700,0.0075526282643193800,0.0118481169047751000,0.0000471851446529057,0.0019482862965108200,0.0032656800802062300,0.0009926518274747570,0.0022713120138114400
45,0.1506997260299490000,0.1638688143826590000,0.0887012761116368000,0.0439657317561184000,0.0359697419227577000,0.0131739880686564000,0.0162445852137353000,0.0012604130707542000,0.0010936165726517100,0.0031425509262076000,0.0046812650081124800,0.0018590028094419300,0.0015127977031969900,0.0011272718535208800,0.0011571046340851800
46,0.1351242712941700000,0.1716006826574800000,0.0704146237438458000,0.0500404174915501000,0.0409181404324718000,0.0045806262726971100,0.0037836539418006900,0.0112946251233026000,0.0031025194773743500,0.0015540458773073200,0.0049071152310048800,0.0002788061679887270,0.0016562801836163600,0.0001442845115555270,0.0013500002665982000
47,0.1260752376988410000,0.1406310024673640000,0.0779657979798652000,0.0357740008475417000,0.0256355921797079000,0.0216052563486368000,0.0076240103472716100,0.0060607787237094500,0.0040843255811525300,0.0014023347699913200,0.0035830250323738400,0.0029313380524257300,0.0007450563195590050,0.0012009389747126600,0.0022152956303308600
48,0.1482628452587880000,0.1957566099620810000,0.0984649287572412000,0.0480229773452281000,0.0464143891565201000,0.0296163773218575000,0.0273705652999682000,0.0102859527250042000,0.0089244012465275300,0.0099425618410000400,0.0048454110230418800,0.0042151047529046700,0.0021630123547386100,0.0021711196006305100,0.0020566045814006500
49,0.2592844255873550000,0.2402958122684830000,0.1332924013070420000,0.0721389361995636000,0.0580158010081873000,0.0259641906836153000,0.0315826503891469000,0.0114161118130695000,0.0314634408498011000,0.0189455453860233000,0.0038998372975341700,0.0052438411045913700,0.0018353908295186100,0.0028494394467493800,0.0026081156675984600
50,0.1498377556643920000,0.1734366360245270000,0.0885857062259577000,0.0614485754918667000,0.0395984200134363000,0.0080275967678064000,0.0030542542183351200,0.0130717117419120000,0.0069519679984308500,0.0096457744947660700,0.0025495947950933500,0.0024064741096863000,0.0001515682303596890,0.0024107107957189900,0.0014650503579865600
51,0.1254967661026190000,0.1440617043781490000,0.0765867159965009000,0.0505032504847060000,0.0467976774445093000,0.0234621915045644000,0.0125113842565121000,0.0072702293758091900,0.0036337118097466800,0.0036610336420877200,0.0026379971503023600,0.0019956029128311300,0.0009257079475906980,0.0018607225444221000,0.0011310398250822800
