Scenario,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.1089448096955520000,0.1357422415658240000,0.0592282716088910000,0.0456521151651382000,0.0277873756413144000,0.0059847260139003500,0.0092956048013334400,0.0083328327209627900,0.0064686859787923300,0.0058489277383791400,0.0048744043952947100,0.0024009474853004700,0.0012984486517577200,0.0013145093238890500,0.0014782753602770500
2,0.1670942844039400000,0.1745428273292150000,0.0963111551334268000,0.0601864312821097000,0.0215426165048519000,0.0135597420581248000,0.0137477624433923000,0.0067534431104450100,0.0102707519272268000,0.0045813915945936800,0.0039536210872277200,0.0024200581780730500,0.0013795595933730800,0.0015417216880647100,0.0018774749368190300
3,0.1076303789352350000,0.1255722055841260000,0.0603582648532611000,0.0443765473500920000,0.0259775312527065000,0.0246764421344853000,0.0017379338996268600,0.0065496886510393800,0.0003102252556103340,0.0062826687901872100,0.0043188334110858800,0.0027837465511744300,0.0013694490970525300,0.0008618835779081740,0.0008608442736652710
4,0.1423651348400530000,0.1437654207867880000,0.0785955427906908000,0.0373406667394321000,0.0348492140887521000,0.0169636517803417000,0.0084793400962843300,0.0133311704255883000,0.0069770631249468300,0.0022437485908877500,0.0006570292842469800,0.0026067265131481500,0.0015762359790628000,0.0013601573645735900,0.0010094871848058500
5,0.1339260688761220000,0.1778475745796880000,0.0802019675521130000,0.0560640931806042000,0.0596935489063330000,0.0339938185049233000,0.0038624309190338600,0.0157076857344579000,0.0043642117916545000,0.0093769170772868600,0.0047754142736697500,0.0036901017684514500,0.0040215854238482200,0.0011126206229996200,0.0012369335143116700
6,0.1842367951836650000,0.2096847059354170000,0.0946581986835512000,0.0765071811657248000,0.0372165298748591000,0.0028209683259994600,0.0132157883168280000,0.0102155209445966000,0.0053478554004428700,0.0093828912917513300,0.0038951640811531100,0.0016756493199862200,0.0031304724320442100,0.0018325363315237100,0.0009742042578739340
7,0.1562205365858510000,0.1852444225178900000,0.0787284745464555000,0.0457285980673116000,0.0334132478382735000,0.0152292008228176000,0.0112314987438486000,0.0116919220139502000,0.0030003558898385400,0.0023513942260348600,0.0016804801188737600,0.0028067710415164900,0.0018258235154207100,0.0000740813817521604,0.0011495233919823600
8,0.1934571292679290000,0.2320918458794140000,0.1239719646525900000,0.0727395608850675000,0.0677531623466350000,0.0352890485918983000,0.0031121643961641500,0.0099947736210579200,0.0214556900759800000,0.0108849117379861000,0.0077273986980863900,0.0056133589036306400,0.0037616751368842800,0.0016075939562305900,0.0024757197665658400
9,0.1665153371070080000,0.1963962761589250000,0.0871865406575357000,0.0594750557918829000,0.0319729844466957000,0.0214390451502725000,0.0196295439414565000,0.0118069007262015000,0.0117862951017172000,0.0004700365210395660,0.0072693278122506400,0.0053780002882984500,0.0017948225536074600,0.0010918527013348000,0.0017397612650939300
10,0.1955174861563140000,0.2151966079451480000,0.1020897729440940000,0.0567481680322246000,0.0699968596365326000,0.0024206600821769400,0.0040923099534146300,0.0091185844258584200,0.0097459702100650000,0.0217518844404057000,0.0055485426313128300,0.0027096698676057300,0.0013347353171211800,0.0017556712076530200,0.0021745414956885200
11,0.1285005681345060000,0.1789703497176440000,0.0684317949831950000,0.0546457116270611000,0.0427403061602740000,0.0198439534867547000,0.0188517733299940000,0.0049441763307256400,0.0032474811911570900,0.0052563509277103200,0.0014751242786390000,0.0006937499193767730,0.0022252690477576300,0.0004164813478260650,0.0016917412024816300
12,0.1675714443837300000,0.1920060747753420000,0.0899305887122065000,0.0605666342322397000,0.0544653258581326000,0.0446649380522044000,0.0063696627681711400,0.0158021754239102000,0.0039551777083226900,0.0076820066020924700,0.0059579525241288900,0.0015201580812827000,0.0026290806104656200,0.0016960514699135100,0.0017731885408607100
13,0.2097584224167790000,0.2642080993715340000,0.1508257844164270000,0.0547821161377671000,0.0389495133819968000,0.0230025446079032000,0.0127843717128039000,0.0047742076124371700,0.0254858358996924000,0.0027033656706971600,0.0070645752824836000,0.0009741100447658980,0.0033481014946108500,0.0026140508347922600,0.0029856666755317800
14,0.1387829923423410000,0.2050909228322790000,0.0906264899852112000,0.0602529774995309000,0.0343931362225235000,0.0239033713138322000,0.0063648434301734400,0.0058802587802757400,0.0035908225138196700,0.0101721694254246000,0.0027130478083411000,0.0032146280889783100,0.0018109440587031800,0.0016387836737498300,0.0025178508878671500
15,0.1059817239686610000,0.1187287620983360000,0.0662549877245872000,0.0357967011713639000,0.0359206470583904000,0.0208464538070415000,0.0054494258027397400,0.0057436140391386300,0.0011216641385836100,0.0004193023190391670,0.0003922640944345970,0.0030422402224925400,0.0014127404395004000,0.0001766358309648520,0.0006295685255412870
16,0.1590114048684140000,0.1888607556201160000,0.1093479901935220000,0.0619162776940108000,0.0351523783740672000,0.0083190667383080500,0.0128136489793164000,0.0138294415288410000,0.0064965479988614100,0.0112537948697535000,0.0053484393573457000,0.0027857269430511300,0.0041963895154786600,0.0007773160749959250,0.0007487754281467470
17,0.1661418463357300000,0.2142302801688890000,0.0999868144643399000,0.0648413360684171000,0.0604294831485178000,0.0008895961831224140,0.0000788405920570713,0.0118052550332097000,0.0028925929486795100,0.0037051809542666700,0.0041983288843728400,0.0050305054678390400,0.0020297588377039800,0.0002483445663414520,0.0019112293789769700
18,0.1523670976890580000,0.1780775721436240000,0.0985176606390411000,0.0550786181933184000,0.0406873334506105000,0.0135068043569829000,0.0128414007581074000,0.0063089959961017600,0.0169474020640285000,0.0029042164104040600,0.0038330907772759400,0.0018078765987193000,0.0010570305122610000,0.0017145945620707000,0.0019638816809668200
19,0.0936938483529189000,0.1312108291973930000,0.0596393950446791000,0.0361384647409406000,0.0362989299674174000,0.0142953309715246000,0.0033245486810271800,0.0045815771339468000,0.0093307037942764300,0.0021248078182650300,0.0044664111530667500,0.0030662644971088600,0.0015594566435766200,0.0009457619381423540,0.0010840689530758400
20,0.1838281721795190000,0.2064172005268790000,0.1071203911778450000,0.0610176215926579000,0.0201894448908714000,0.0070433626213755800,0.0160727744794366000,0.0024169546296508800,0.0020597378242024800,0.0033639401459146000,0.0031035495432461600,0.0008461136782109860,0.0019810691031862800,0.0011346574621357600,0.0016629833700235300
21,0.1946125619692080000,0.2080765453655170000,0.1024756973036790000,0.0571251314041314000,0.0271740949711680000,0.0165269175415338000,0.0088521659135193900,0.0155681905394901000,0.0037187171016126000,0.0152186787756941000,0.0039413885693596800,0.0032138756735949800,0.0011708173884429100,0.0009214096664589040,0.0013991506290939900
22,0.1384539752472580000,0.1555312017531870000,0.0884562469784581000,0.0468621838707412000,0.0334919068305297000,0.0094264421082121100,0.0096899701781193200,0.0084456732426475600,0.0142993651664368000,0.0045364943997935500,0.0070092355345025500,0.0001009332029435610,0.0007507275001718250,0.0013901848731158600,0.0020276129179895300
